ID	Transcription
281474976732894	तु ओकरा रोज किताब देबऽ हऽ ।
281474976719489	तु खुद से चावल बनएलऽ ।
281474976727982	खराब मौसम के कारण अब हम गाँव मे नऽ जा पइबउक ।
281474976732787	रोजा स्कुल जा हलइ ।
281474976719613	का तु हमरा नऽ जानऽ हे ।
281474976732303	टिटू के माय राधा के टीटूआ से सुतवलइ ।
281474976732804	सब लोग परिक्षा नऽ पास करलऽथुन हे ।
281474976731786	हमर बहीन विद्यालय मे हइ ।
281474976728319	हमरा भुख लगल हइ ।
281474976726700	ऊ अब मैदान जाइ थे ।
281474976731659	ऊ घर के साफ कर देलइ ।
281474976732984	ऊ हसीत-हसीत पागल हो गेलइ ।
281474976719798	हमरा एगो छोटा केला दे ।
281474976728026	भुख से हमर अतरी कुरकुरा रहलइ हे ।
281474976719669	ऊ अब मैदान जाइ थइ ।
281474976731893	ऊ चल देले होथुन ।
281474976720224	पानी पड़ी थइ ।
281474976728044	ऊ हसते-हसते पागल हो गेलइ ।
281474976731757	कल्हे तु यहा आ सकले हे ।
281474976731344	ऊ सुत गेलइ हे ।
281474976732678	लोग यहा इकट्ठा होएल हथुन ।
281474976719661	राधा ओकरा से प्यार करऽ हइ ।
281474976731805	कल्हे हम दार्जिलिंग जाएम ।
281474976731456	तु अब नऽ जा सकबे ।
281474976731433	तोर घर कउन हउ ।
281474976720353	तु हमरा साथ आवी थे ।
281474976731554	तु कल्हे शहर गेलही हल ।
281474976720596	हमरा थोरा चौकलेट दऽ ।
281474976731468	ऊ फुटबौल हर रोजे खेलऽ हइ ।
281474976731649	हमर घर मे बहुते सारा पेड़ हे ।
281474976726859	किरिप्या जाईं ।
281474976726821	ऊ सगाई तोर देल ।
281474976732727	हमरा से बिना पुछले परवेश नऽ करीहे ।
281474976732699	हमरा पास पइसा नहियो होतइ हल तऽ हम चल सकलीक हल ।
281474976731495	अप्पन बराइ कउन करऽ हइ ।
281474976728137	हम हर दिन चलीत-चलीत थक गेलीक हे ।
281474976727995	का हम तोहरा कल बुला सकऽ ही ।
281474976732441	ऊ बियाह ला एगो लड़की के देखलइ हे ।
281474976719705	तु सुवेरे चावल खएलऽ हल ।
281474976731385	खुल के बोली थवऽ चाय नऽ पसंद हे ।
281474976731945	हमर घरे बहुते सारे पेड़ हइ ।
281474976728167	छात्र के छरी से नऽ पिटऽ ।
281474976732886	हमरा आम अच्छा लगऽ हवऽ ।
281474976728199	पेड़ पऽ बंदर हइ ।
281474976732431	हमरा एगो छोटा केलवा दे ।
281474976728236	ऊ सिर्फ अपन परिवार के लिए काम करी थइ ।
281474976731485	ऊ बोललइ कि अउरत जमीन पर सुती थइ ।
281474976731415	ई पत्थर तोर देलइ ।
281474976728084	पिछले साल अक्टुबर मे बारिस होलइ हे ।
281474976732043	हमरा बिना पुछ्ले परवेश मत करिहे ।
281474976731406	आज पानी पड़ तइ ।
281474976720625	ऊ तीन सुअर घर के पिछे रखऽ हइ ।
