ID	Transcription
281474976715792	वे रोज स्कूल जा थें ।
281474976715793	हम चाही थे की तू एक अच्छा इन्सान बना ।
281474976715794	मोहारे कय कुण्डा टुट गा बाय ।
281474976715795	ऊ बडका घर हा ।
281474976715796	हम चाही थे की वे रोज खेते जायं ।
281474976715797	हम जाबय जब अम्मा आय जइहैं ।
281474976715798	हमरे पास पैसा नाय ना ।
281474976715799	हम अउर हमाय भाय साथ मा खेलब ।
281474976715800	हम लडके से झाडू से कमरा साफ़ करवाइन ।
281474976716046	हम हियाँ तुहका देखय आवा रहिन ।
281474976716047	हमरे दोस्त कय बहिन बिमार बाटय ।
281474976716048	वे हमका फ़ोन केहें ।
281474976716049	छात्र को छडी से ना पीटयं ।
281474976716050	ऊ मर गवा ।
281474976716051	वोहका खेलय दिया ।
281474976716052	तु खुद से भात बनाये अहा ।
281474976716053	कृपया जा ।
281474976715904	वे हियाँ नही अहयं ।
281474976715905	हम गाय सकी थे ।
281474976715906	राधा रमेश के साथे शहर गयी ।
281474976715907	हम राधा अही ।
281474976715908	हम सिर्फ़ भात खाई थे ।
281474976715909	हम उनका कल बच्चा देब ।
281474976715910	वे उनका किताब दे थें ।
281474976715911	वे बिना केहू का बतायेन चला गये ।
281474976715912	चला जा ।
281474976715913	खाये के बाद सोया ।
281474976715914	गाँव कय ई सबसे पुरान पेड आय ।
281474976715915	हम उनका एक बच्चा देत अही ।
281474976715916	तू उनका किताब देत अहा ।
281474976716109	राधा अपने खातिर एक साडी खरीदी ।
281474976716110	ऊ एक आदमी का देखिस ।
281474976716111	भूख से हमार अंतरी ककुरात अहय ।
281474976716112	केहू का हियाँ अङ्ग्रेजी आवा थय ।
281474976716113	हमका एक दर्जन केला दिया ।
281474976716114	वे कल कुछु भी नही खाये रहें ।
281474976716115	खराब मौसम की वजह से हम सब गाँव नही जाय पाइन ।
281474976716116	टैंक मा पानी नाही बाटय ।
281474976716117	राजू घर छोड देहें ।
281474976716118	जहाँ-तहाँ किताब बिखरी पडी बाटय ।
281474976716119	अगर वे कल आवा होतें तौ हम मना कय सकत रहिन ।
281474976716120	वे सोवत्त बाटें ।
281474976716121	वे अब मैदान जात अहय ।
281474976715835	हम कतहूँ भी जाय सकी थे ।
281474976715875	राधा गाँव मा कतहूं नही बाटय ।
281474976715884	कौनव खुद कय तारीफ़ नही करत ।
281474976715903	राधा अउर राजा एक दूजे का देखय ।
281474976715917	के के जग़ल जाये ।
281474976715950	वे हमका आशीर्वाद देहें ।
281474976715966	हम कल स्कूले ना अउबय ।
