ID	Transcription
281474976719091	हमके एके छोट केला दऽ ।
281474976725986	ओकरा जाय दऽ ।
281474976726194	हमार बहीन हमार भरोसा ना कईलस ।
281474976719044	अगर पानी बर्सी तऽ हम चिकन बनाइब ।
281474976717602	हम चाहत बानि तू एगो अच्छा इन्सान बन ।
281474976723285	हो सकेला तऽ हम आईब ।
281474976718948	हम रोज मैदाने जाइला ।
281474976718125	बुन्नी पड़त हऽ ।
281474976716937	ऊ हंसत हंसत पागल हो गईल ।
281474976718102	हमान कहिंयो जा सकिला ।
281474976726088	तनिक चाय वाय लेलीं ।
281474976725894	उ आइल बइठल खइलस अउरी चल हगइल ।
281474976719102	टिटु खाना बनावत रहल ।
281474976718930	हम खाली भात खाइला ।
281474976726201	तू उनके रोज बच्चा दऽ ।
281474976726054	हम आज रात के शहर जाय के चाहतनि ।
281474976726205	केंवाड़ी खोलऽ खोलऽ ।
281474976718353	माई आया से बच्चा के खाना खेवइनी ।
281474976717123	भगवान तोहार भला करे ।
281474976716984	ऊ स्कूल गईल कांहे छोड़ दीहलस ।
281474976718363	पिता जी अपने लइकन बदे खिलौना खरिदनऽ ।
281474976723539	अपन खाना खईला की बाद ऊ सुते चल गईल ।
281474976723464	राधा ओके प्यार करेली ।
281474976723382	राधा ओतने अच्छा हंई जेतना कि रूबी ।
281474976723223	तोहके अब हीलेके ना चांही ।
281474976717380	हम चावल और सबजी खात बानी ।
281474976716975	हमार कपार दूखाता ।
281474976726237	मेज पर दू गो किताब बाटे ।
281474976717436	उ के हऽ ।
281474976716930	हर आदमी के दस रुपीया दऽ ।
281474976726304	हम कत्ही जा सकेनी ।
281474976718929	उ धड़ाम से गिर गयल ।
281474976717495	खइला के बाद सुतिहे ।
281474976717431	हमनि से बिना पुछले घुसिहे मत ।
281474976718754	किसान कुदाल उदार लेके खेते जालन ।
281474976725090	रमेश दौड़ऽ ।
281474976723199	ऊ दिल्ली अकेले जा सकेली ।
281474976717501	हम बस से जाइम ।
281474976717569	हम आज ना खेलनी ।
281474976717601	अब हम मैदान जात बानि ।
281474976723275	ओके खेले दऽ ।
281474976717570	अगर हम आपइती ।
281474976717294	हम रोजे मैदाने जाईला ।
281474976726111	का तू घर जइबऽ ।
281474976717428	हम दुनो एक दुसरा से मिलनि जा ।
281474976718976	नीचे लिखल उद्धारण का प्रारूप बतावऽ ।
281474976722094	जाईं रउआ के जाईं यहां से ।
281474976723394	हम दुनों जाना एक दूसरा से मिलली ।
281474976723447	सब लोगन पास ना भईलन ।
281474976719136	हम नइया से आइल हइ ।
281474976717034	राजू घर छोड़ दीहलस ।
281474976717404	उ रोजे उस्कुल जायला ।
281474976718174	हम दुनो एक दुसरे से मिलनि ।
281474976717196	हम बस से आईब ।
281474976725096	ऊ घर से बाहर गईली हऽ ।
281474976725793	उ जंगल मे बाटे ।
281474976723520	एईजा धूम्र पान कईल मना हऽ ।
281474976716940	हम भर दिन से चलत चलत थाक गईल बानी ।
281474976717015	हमार दादी मां बहुत सारा बिस्कुट दिहली ।
281474976717176	तू रोज चावल खालऽ ।
281474976719016	राधा के केतना पइसा मिलल ।
281474976726079	गांव के ई सबसे पुरान गाछ हटे ।
281474976725927	हम ओकरा के एगो किताब देतनी ।
281474976725908	हमरा कपार मे दरद बाटे ।
281474976717412	उ बिना कोइ के बतइले चल गइल ।
281474976718234	उ फुटबाल हर रोज खेलेला ।
281474976722091	कल उ लोग चोर के पकड़ लेल रहलन ।
281474976718249	कल सबेरे उ जंगल जात होइहऽ ।
281474976718914	का तू ओके देखले हउअऽ नाही ।
281474976718776	गांवे के ई सबसे पुराना पेड़ बा ।
281474976725995	उ घुटे घुटे पानी पी गइल ।
281474976717448	दफा होजो ।
281474976725828	हम इ ना कहनि कि उ खराब नइखे ।
