ID	Transcription
281474976729909	टीटो कैसै गिरो ।
281474976729966	मैं हर दिना चल्त चल्त हैरान है गऊं ।
281474976717958	तुम कल्लि बएै किताब दै दैंगे ।
281474976730085	मै बाएै एक बच्चा दै रऊं ।
281474976730190	राधा रमेस के संग सैर गई ।
281474976717973	बानै दो दिना पैलि बॉक्स खोलौ हतो ।
281474976727137	तुम बाएै रोज किताब देत औ ।
281474976727069	मैंनि बाति कांच टुरबाओ ।
281474976717874	मैंनि खुदए सीसा मिं देखो ।
281474976730102	बे स्कूल जाइ रए एैं ।
281474976729988	कऊ एै जां अंगरेजी आबति एै ।
281474976714344	राधा बित्तई अच्छी एै जित्ती अच्छी रूबी एै ।
281474976717839	मोइ ना पतौ ।
281474976717792	मेई भैन निऊ मेऔ विश्वास ना करौ ।
281474976727042	बारिश है रई एै ।
281474976730158	मैं नाब ति आयौ ऊं ।
281474976729902	बु एक अध्यापिका थी ।
281474976727133	आस पड़ोस ति सबई लोग सभा के लएैं पौंच चुके एैं ।
281474976729995	बु चामल खाबैगौ ।
281474976726988	बु तीन सूअर घन्नि के पीछि रख्खतु एै ।
281474976726871	पत्तियां पेड़ पै सि नींचि गिर रईं एैं ।
281474976717790	बु घर में एै ।
281474976717927	नीचि दए उधारन कौ प्रारूप बताऔ ।
281474976717642	आया नि लला कूं खानौ खबायो ।
281474976730095	बु राधा ई एै जो खाबैगी ।
281474976717986	बई बीमारी के बारे में कछू न करौ जाइ सकतु ।
281474976727174	कोई अपए आप की तारीफ ना कत्तु ।
281474976717832	मैं बए एक छोरा दै रऊं ।
281474976717915	बे अंग्रेजी बोन्त एैं ।
281474976730124	तुमै कितनी गईआ चइएैं ।
281474976729967	बु बिना कऊ एै बताइ कि चलौ गऔ ।
281474976717846	बु हसत हसत पागल है गई ।
281474976714316	राधा ने अभी घर छोद्दऔ ।
281474976717969	मे मूंड मि दद्दु एै ।
281474976717733	तुम कल बजार गए थे ।
281474976717783	तुम बएै रोज छोरा देओ ।
281474976727004	हम अब बजार जाइ रए ।
281474976718005	नैक चाय बाएै लेओ ।
281474976727045	बु बाएै किताब दैबैऔ ।
281474976730076	मैनि ना खायौ ।
281474976714376	तू दफा है जा ।
281474976726985	बु तेज दौड़ति एै ।
281474976717953	मैं बएै रोज किताब देतूं ।
281474976717709	मैं नाब ति आऊं ।
281474976714336	हम कऊं जाइ सकत एैं ।
281474976717721	कल्लि जा समै तक बु कलकत्ता पौंचि गई होगी ।
281474976726898	किसान कुदाल उदाल लैकि खेतन पै जाइ रऔ एैं ।
281474976730022	तुम अबै न जाइ सकत ।
281474976729979	घुसिए मति ।
281474976717825	बु कल्लि दस बजे सबेरे नईं होगो ।
281474976717727	तुम बएै छौरा दै रए औ ।
281474976727056	चले जाऔ ।
281474976714354	मैं बाएै कल्लि किताब दुंगौ ।
281474976714357	बु छत्ति पै भाजि गई ।
281474976717700	मोइ आम अच्छौ लगतु एै ।
281474976730137	बु घर में औ ।
281474976717931	राजा नि अपओ घरु कल्लि छोड़ो ।
281474976727092	मैं बाए कल्लि एक बच्चा दुंगो ।
281474976729954	मौंडा सोइ चुकौ एै ।
281474976727210	मोइ नैक चॉकलेट दै देओ ।
281474976727216	कौन खुद की प्रसंसा कत्तु एै और जो खुद की प्रसंसा कत्तु एै ।
281474976729975	सब घरन मि जाइ कि हमनि जलामन इकट्ठे करे ।
281474976727060	बु सई ना बोल रऔ है ना ।
281474976717799	मेई अम्मा नि मोइ भौत सारे बिसकुट दए ।
281474976717967	बिन लोगन्नि अपने बारे मि मोइ बताओ ।
281474976727208	छोरा स्कूल जाइ रऔ एै ।
281474976727128	बे बांस काटि रएैं ।
281474976717660	मैंई मम्मी धीरे-धीरे खानौ खाति एै ।
281474976729953	राधा नि नाचौ गाऔ और मेहमान नि मनोरंजन करो ।
281474976717851	टीटो कैसि गिरो ?
281474976726877	बानि थोड़ी देर पैलि ईं तौ चाबल खाए ।
281474976729929	आजु सोमबारु एै ।
281474976730151	कछू लड़का कक्षा मिं ना आए ।
281474976717835	मेई भैनि विद्यालय मिं एैं ।
281474976729896	किसान फांमरौ खुरपी लैकि खेत मिं जातु एै ।
281474976717719	मैं बाएै कल्लि किताब दैंगौ ।
281474976717861	बु गाइ ना सकति ।
281474976729868	मैं कल बाएै बच्चा दुंगौ ।
281474976729866	बु सिर्फ बई के परिबार के लएै काम कर्रई एै ।
281474976727048	राजा की बजै ति बु मरि गऔ हतौ ।
281474976730034	बे जने मोति प्यार कत्त/कत्ति एैं ।
281474976730163	मैं जां तुमैं देखिबे आयौ ऊं ।
281474976730087	खुल कि अगर बोलू तौ मोइ चाइ अच्छी ना लगति ।
281474976727155	नैहर मि पाईं नांइ ।
281474976730048	को को जंगल जाबैगौ ।
281474976727125	सूर्य पूरब मि निकत्तु एै ।
281474976717782	मैं कल्लि दार्जिलिंग जांगो ।
281474976717731	कल्लि बानि कछू ना खाओ ।
281474976727202	राजा नि अपनी बीवी कूं फूल दऔ ।
281474976730180	बे चल दे हते ।
281474976727030	बे चले गए होंगे ।
281474976727027	मैं रोज मैदान जातूं ।
281474976727066	जां बीडी पीबौ मनैं एैं ।
281474976727012	मेरी मम्मी धीमि धीमि खानौ खाति एैं ।
281474976717693	बानि थोड़ी देर पैहले ई चामर खाए एैं ।
